x,y,z,diameter_um,mass_kg,active,deposition_time_s,deposition_x,deposition_y,deposition_z,drift_distance_m,status
4.9048247,0.019569993,0.046709668,225.64746,6.015757e-09,0,2.19,4.9048247,0.019569993,0.0,4.904864,deposited
9.556985,-0.08012975,0.047343735,141.86464,1.4949322e-09,0,4.13,9.556985,-0.08012975,0.0,9.557321,deposited
3.7235765,0.16553546,0.042851187,273.46164,1.07075016e-08,0,1.7,3.7235765,0.16553546,0.0,3.7272544,deposited
2.8872876,0.0015693406,0.0457772,321.06818,1.7329691e-08,0,1.38,2.8872876,0.0015693406,0.0,2.887288,deposited
2.920857,-0.08755831,0.041853327,316.17664,1.6549624e-08,0,1.45,2.920857,-0.08755831,0.0,2.922169,deposited
3.2769043,0.103837125,0.047855698,297.68784,1.3812814e-08,0,1.57,3.2769043,0.103837125,0.0,3.2785492,deposited
5.69666,0.026614647,0.049504597,204.06992,4.449753e-09,0,2.52,5.69666,0.026614647,0.0,5.696722,deposited
3.8784962,0.000271802,0.044233408,264.13425,9.6487955e-09,0,1.76,3.8784962,0.000271802,0.0,3.8784962,deposited
5.772959,0.008938829,0.044988528,203.71251,4.426414e-09,0,2.53,5.772959,0.008938829,0.0,5.772966,deposited
3.1952493,0.15080652,0.040367953,303.01904,1.4568293e-08,0,1.51,3.1952493,0.15080652,0.0,3.198806,deposited
5.6545076,-0.053544093,0.04454502,206.31404,4.5981734e-09,0,2.53,5.6545076,-0.053544093,0.0,5.6547613,deposited
15.605393,20.376982,-1.3193105,49.550087,6.369895e-11,0,3.29,15.605393,20.376982,0.0,25.66612,deposited
2.6785266,0.047704257,0.046483207,338.65698,2.033663e-08,0,1.31,2.6785266,0.047704257,0.0,2.6789513,deposited
5.8726115,0.0022164576,0.04416755,201.52718,4.285483e-09,0,2.55,5.8726115,0.0022164576,0.0,5.872612,deposited
8.276553,-0.18373466,0.048601888,161.86052,2.2203517e-09,0,3.52,8.276553,-0.18373466,0.0,8.278593,deposited
4.886257,-0.099225044,0.04496331,227.11194,6.1336487e-09,0,2.17,4.886257,-0.099225044,0.0,4.8872647,deposited
4.3469596,-0.15574792,0.046564773,251.83824,8.363036e-09,0,1.91,4.3469596,-0.15574792,0.0,4.3497486,deposited
2.8479567,0.059176918,0.044295106,325.7651,1.810142e-08,0,1.39,2.8479567,0.059176918,0.0,2.8485713,deposited
4.804584,0.03756997,0.043204356,231.17416,6.4686985e-09,0,2.13,4.804584,0.03756997,0.0,4.804731,deposited
2.9333003,0.0386322,0.044556726,337.83398,2.0188725e-08,0,1.31,2.9333003,0.0386322,0.0,2.9335546,deposited
12.299112,0.004281641,0.047335554,113.031166,7.56125e-10,0,5.53,12.299112,0.004281641,0.0,12.299112,deposited
7.692667,0.009645812,0.046212565,167.54234,2.46248e-09,0,3.32,7.692667,0.009645812,0.0,7.6926727,deposited
2.7925878,-0.058574613,0.044195216,335.47928,1.9769518e-08,0,1.31,2.7925878,-0.058574613,0.0,2.793202,deposited
4.0479484,0.10839429,0.04129425,265.80664,9.8332364e-09,0,1.81,4.0479484,0.10839429,0.0,4.0493994,deposited
3.6184328,0.04589018,0.0435185,286.72858,1.2342749e-08,0,1.61,3.6184328,0.04589018,0.0,3.6187236,deposited
2.63593,-0.021049742,0.048623912,346.6757,2.1815698e-08,0,1.25,2.63593,-0.021049742,0.0,2.636014,deposited
2.6294968,-0.18521498,0.046546865,343.737,2.1265606e-08,0,1.29,2.6294968,-0.18521498,0.0,2.6360118,deposited
3.901926,0.029482698,0.044865873,262.86618,9.510493e-09,0,1.79,3.901926,0.029482698,0.0,3.9020374,deposited
6.0630536,-0.02040616,0.04980618,197.12192,4.0105474e-09,0,2.64,6.0630536,-0.02040616,0.0,6.063088,deposited
5.077864,0.05169134,0.044636656,223.05789,5.8110112e-09,0,2.24,5.077864,0.05169134,0.0,5.0781274,deposited
8.677995,-0.012173491,0.0494499,155.12024,1.9543593e-09,0,3.74,8.677995,-0.012173491,0.0,8.678003,deposited
2.8542044,0.066100575,0.040321495,328.9349,1.8634974e-08,0,1.34,2.8542044,0.066100575,0.0,2.8549697,deposited
2.6776223,-0.094415784,0.037192542,342.98087,2.1125581e-08,0,1.31,2.6776223,-0.094415784,0.0,2.6792865,deposited
3.1063817,0.08500985,0.047223277,306.82504,1.5124163e-08,0,1.5,3.1063817,0.08500985,0.0,3.1075447,deposited
20.307316,3.3864343,2.6995254,46.021343,5.103603e-11,0,-1.0,0.0,0.0,0.0,0.0,drift_lost
10.73739,0.060524125,0.046721317,130.18738,1.1553287e-09,0,4.67,10.73739,0.060524125,0.0,10.73756,deposited
2.6320143,-0.18356724,0.043000747,346.36612,2.1757305e-08,0,1.31,2.6320143,-0.18356724,0.0,2.638408,deposited
62.07395,-19.095783,-16.675755,46.202595,5.164142e-11,0,5.22,62.07395,-19.095783,0.0,64.94478,deposited
5.372612,0.036469378,0.047924217,217.5064,5.3878457e-09,0,2.3,5.372612,0.036469378,0.0,5.3727355,deposited
5.0111775,-0.011557298,0.044590652,224.43518,5.9193193e-09,0,2.21,5.0111775,-0.011557298,0.0,5.011191,deposited
4.2519474,0.062801644,0.04274258,251.27573,8.307119e-09,0,1.91,4.2519474,0.062801644,0.0,4.252411,deposited
4.1108932,-0.089508824,0.041640304,259.112,9.108808e-09,0,1.83,4.1108932,-0.089508824,0.0,4.1118674,deposited
4.0292487,0.039841056,0.04305176,262.53827,9.474946e-09,0,1.81,4.0292487,0.039841056,0.0,4.0294456,deposited
2.5531123,0.0865019,0.04199226,377.70578,2.8213691e-08,0,1.15,2.5531123,0.0865019,0.0,2.554577,deposited
4.0751123,0.13529898,0.04414892,259.36606,9.135627e-09,0,1.84,4.0751123,0.13529898,0.0,4.077358,deposited
4.5508695,0.08480501,0.048062913,237.24893,6.9921664e-09,0,2.03,4.5508695,0.08480501,0.0,4.5516596,deposited
2.9886801,-0.0046518003,0.040782332,311.09613,1.5764595e-08,0,1.43,2.9886801,-0.0046518003,0.0,2.9886837,deposited
3.0984917,-0.096501485,0.040454045,314.03152,1.6215065e-08,0,1.44,3.0984917,-0.096501485,0.0,3.0999942,deposited
2.6769276,0.019159893,0.039030965,337.6446,2.0154793e-08,0,1.32,2.6769276,0.019159893,0.0,2.6769962,deposited
1.9626873,-0.057458755,0.04558319,407.1394,3.5336885e-08,0,1.05,1.9626873,-0.057458755,0.0,1.9635282,deposited
2.5606298,0.0019354568,0.041642163,359.62134,2.4352035e-08,0,1.2,2.5606298,0.0019354568,0.0,2.5606306,deposited
4.0221715,-0.07749064,0.043325335,259.6372,9.164307e-09,0,1.82,4.0221715,-0.07749064,0.0,4.0229177,deposited
2.0980067,-0.1641395,0.034615774,412.39166,3.6722188e-08,0,1.04,2.0980067,-0.1641395,0.0,2.1044178,deposited
5.2679534,0.025657,0.04356705,217.6287,5.396939e-09,0,2.31,5.2679534,0.025657,0.0,5.268016,deposited
2.9023008,-0.020388799,0.04598788,323.48868,1.7724588e-08,0,1.36,2.9023008,-0.020388799,0.0,2.9023726,deposited
13.263091,0.07643171,0.047759943,102.05601,5.5656346e-10,0,6.07,13.263091,0.07643171,0.0,13.263311,deposited
3.6214843,0.10238335,0.047327816,281.51706,1.1681889e-08,0,1.67,3.6214843,0.10238335,0.0,3.6229312,deposited
1.8662556,-0.10015593,0.035660695,416.28006,3.7770764e-08,0,1.05,1.8662556,-0.10015593,0.0,1.8689412,deposited
3.9686615,-0.18327972,0.047558356,261.83975,9.399519e-09,0,1.83,3.9686615,-0.18327972,0.0,3.9728913,deposited
3.6792445,0.018806547,0.048038267,269.77548,1.02803135e-08,0,1.73,3.6792445,0.018806547,0.0,3.6792927,deposited
5.857963,-0.021467566,0.045005355,201.94086,4.3119286e-09,0,2.57,5.857963,-0.021467566,0.0,5.8580027,deposited
13.809219,0.07434498,0.049156476,94.6516,4.439999e-10,0,6.5,13.809219,0.07434498,0.0,13.80942,deposited
4.5514727,0.030009003,0.048516992,235.74112,6.859697e-09,0,2.06,4.5514727,0.030009003,0.0,4.551572,deposited
4.714303,0.01033734,0.04944538,234.15584,6.7222397e-09,0,2.09,4.714303,0.01033734,0.0,4.7143145,deposited
3.1834846,0.07170742,0.049002655,301.77954,1.4390248e-08,0,1.54,3.1834846,0.07170742,0.0,3.184292,deposited
6.311937,-0.080676034,0.04986262,192.51534,3.735897e-09,0,2.74,6.311937,-0.080676034,0.0,6.3124523,deposited
3.3651242,0.01059975,0.044926368,291.3367,1.2947459e-08,0,1.56,3.3651242,0.01059975,0.0,3.365141,deposited
2.2282717,0.006327899,0.042863045,384.7873,2.983054e-08,0,1.1,2.2282717,0.006327899,0.0,2.2282808,deposited
7.435427,0.032159716,0.04821478,172.89035,2.7058966e-09,0,3.19,7.435427,0.032159716,0.0,7.435497,deposited
6.3769627,-0.002103278,0.046409234,188.81438,3.5245535e-09,0,2.78,6.3769627,-0.002103278,0.0,6.376963,deposited
4.1810837,0.029584207,0.048707556,250.64166,8.2443945e-09,0,1.89,4.1810837,0.029584207,0.0,4.1811886,deposited
5.7616715,-0.058192793,0.046459556,201.99467,4.3153765e-09,0,2.55,5.7616715,-0.058192793,0.0,5.7619653,deposited
3.0071006,-0.027153913,0.045319002,312.9679,1.6050862e-08,0,1.42,3.0071006,-0.027153913,0.0,3.0072231,deposited
2.1835399,-0.02808901,0.035980176,388.2943,3.065364e-08,0,1.12,2.1835399,-0.02808901,0.0,2.1837206,deposited
3.2722147,0.03486626,0.043291975,297.66965,1.3810282e-08,0,1.52,3.2722147,0.03486626,0.0,3.2724004,deposited
5.0953293,-0.07609134,0.045299824,224.16382,5.897874e-09,0,2.24,5.0953293,-0.07609134,0.0,5.0958977,deposited
7.4820657,0.054839168,0.048076835,169.46834,2.548383e-09,0,3.26,7.4820657,0.054839168,0.0,7.4822664,deposited
4.050869,-0.13750207,0.042423498,260.58182,9.2646975e-09,0,1.83,4.050869,-0.13750207,0.0,4.053202,deposited
4.7625594,0.02788021,0.04342241,232.62297,6.591083e-09,0,2.1,4.7625594,0.02788021,0.0,4.762641,deposited
6.5713167,0.093797654,0.044763234,188.61316,3.5132977e-09,0,2.84,6.5713167,0.093797654,0.0,6.571986,deposited
6.3599143,-0.014010926,0.045809567,193.72183,3.8065777e-09,0,2.71,6.3599143,-0.014010926,0.0,6.3599296,deposited
9.069135,0.00503712,0.047202367,148.72441,1.7224469e-09,0,3.92,9.069135,0.00503712,0.0,9.069136,deposited
2.2828903,-0.2553955,0.042902865,387.60318,3.0490245e-08,0,1.12,2.2828903,-0.2553955,0.0,2.297132,deposited
3.2078023,-0.10994391,0.039904416,298.68277,1.3951775e-08,0,1.57,3.2078023,-0.10994391,0.0,3.2096858,deposited
17.40713,0.0046301843,0.04992647,44.44069,4.5955916e-11,0,9.68,17.40713,0.0046301843,0.0,17.40713,deposited
4.8553557,-0.07582562,0.048104074,228.84491,6.2751293e-09,0,2.18,4.8553557,-0.07582562,0.0,4.855948,deposited
6.1262045,-0.06092701,0.047860418,198.85272,4.117121e-09,0,2.64,6.1262045,-0.06092701,0.0,6.1265073,deposited
7.773327,0.060715917,0.045678798,166.59453,2.4209241e-09,0,3.33,7.773327,0.060715917,0.0,7.773564,deposited
5.7587676,-0.031595137,0.044130255,206.44159,4.6067066e-09,0,2.51,5.7587676,-0.031595137,0.0,5.7588544,deposited
5.2479906,0.0742073,0.045133032,214.62482,5.1765303e-09,0,2.32,5.2479906,0.0742073,0.0,5.248515,deposited
2.972468,-0.012057816,0.045431927,317.43228,1.6747585e-08,0,1.4,2.972468,-0.012057816,0.0,2.9724922,deposited
3.501294,-0.07358593,0.04125421,288.6591,1.259374e-08,0,1.59,3.501294,-0.07358593,0.0,3.502067,deposited
12.659691,0.024604985,0.049828187,107.61031,6.524701e-10,0,5.71,12.659691,0.024604985,0.0,12.659715,deposited
6.933106,-0.08613921,0.04510183,180.07436,3.0574168e-09,0,3.01,6.933106,-0.08613921,0.0,6.933641,deposited
4.0748177,-0.0804383,0.041774742,257.80096,8.971244e-09,0,1.88,4.0748177,-0.0804383,0.0,4.0756116,deposited
6.1348886,-0.013943151,0.04812989,199.07364,4.130857e-09,0,2.63,6.1348886,-0.013943151,0.0,6.1349044,deposited
3.542834,-0.059069574,0.04968812,286.63544,1.23307276e-08,0,1.6,3.542834,-0.059069574,0.0,3.5433264,deposited
3.4698393,-0.11171457,0.046292704,285.80032,1.2223262e-08,0,1.61,3.4698393,-0.11171457,0.0,3.4716372,deposited
3.490317,-0.08186657,0.047708146,282.4284,1.17957075e-08,0,1.62,3.490317,-0.08186657,0.0,3.4912772,deposited
4.875939,0.03515997,0.04669304,225.21938,5.9815846e-09,0,2.18,4.875939,0.03515997,0.0,4.8760657,deposited
3.1428668,-0.12684517,0.04531641,314.51788,1.629052e-08,0,1.43,3.1428668,-0.12684517,0.0,3.1454256,deposited
15.07514,-0.010676247,0.048966337,78.91551,2.5732744e-10,0,7.47,15.07514,-0.010676247,0.0,15.075144,deposited
8.710314,0.014247214,0.049135953,152.78934,1.867575e-09,0,3.77,8.710314,0.014247214,0.0,8.710325,deposited
5.1713815,-0.028468633,0.043951742,222.52,5.7690746e-09,0,2.29,5.1713815,-0.028468633,0.0,5.1714597,deposited
6.53333,0.07054755,0.04776944,188.57628,3.5112366e-09,0,2.85,6.53333,0.07054755,0.0,6.533711,deposited
9.981334,0.112442896,0.04904469,138.21387,1.3824643e-09,0,4.3,9.981334,0.112442896,0.0,9.981967,deposited
7.0107365,0.05672616,0.04581072,178.99382,3.002708e-09,0,3.03,7.0107365,0.05672616,0.0,7.010966,deposited
5.1115785,0.053470712,0.048900936,221.12819,5.6614966e-09,0,2.29,5.1115785,0.053470712,0.0,5.1118584,deposited
3.4057763,0.11843517,0.04566956,293.21393,1.31993545e-08,0,1.56,3.4057763,0.11843517,0.0,3.4078348,deposited
2.7767997,-0.09585763,0.041196983,330.40463,1.8885887e-08,0,1.35,2.7767997,-0.09585763,0.0,2.7784538,deposited
6.7040615,0.08821379,0.04474565,185.51526,3.3430123e-09,0,2.93,6.7040615,0.08821379,0.0,6.704642,deposited
